,340_VFD_010\Current,355_ZI_040,815_PT_110A,BE_Machine_Speed_FB,SQ_Per_Hour_Shift2,ST325M030\SpeedFB,ST330M010\SpeedFB,ST340M022\AI3,VFD165_OL_Trim,VFD165_SW_Current
5543,46.0938,74.0,96.1272,705.078,624.8480000000001,94.8486,563.904,182.495,-2.58766,44.1498
5544,45.8984,74.0,95.8052,705.2610000000001,624.8480000000001,94.9097,563.965,189.40400000000002,-3.83077,44.1349
5545,45.9961,71.0,96.4962,705.1389999999999,626.867,94.7876,563.965,183.423,0.0,0.0
5546,45.8984,62.0,96.3313,505.249,626.867,84.8999,454.468,190.82,0.0,0.0
5547,46.1914,54.0,95.6443,505.43199999999996,628.865,84.9609,454.468,177.222,16.573,44.6956
5548,46.1914,49.0,95.1182,505.31,628.865,84.8999,454.468,194.482,-1.61429,44.1834
5549,46.0938,52.0,95.1457,505.005,625.685,85.022,454.407,184.229,-1.40801,44.0413
5550,46.0938,55.0,95.0044,505.615,625.685,84.7168,454.468,185.791,-2.1974400000000003,44.1296
5551,46.1914,59.0,95.3969,504.944,627.971,85.022,454.468,196.28900000000002,-1.8771200000000001,44.2505
5552,45.8984,63.0,95.2478,505.066,627.971,85.022,454.468,184.351,-2.08403,44.1345
5553,45.9961,67.0,97.3481,505.249,629.933,84.8999,454.407,182.373,-2.21347,44.1501
5554,46.0938,72.0,94.9219,505.18800000000005,629.933,84.7168,454.407,192.236,-0.466294,36.7964
5555,46.0938,77.0,93.3163,745.056,626.795,96.2524,595.947,191.26,-1.74247,37.025
5556,53.9063,77.0,93.9679,840.332,626.795,69.8242,689.27,182.764,-0.8672219999999999,37.1671
5557,53.5156,78.0,91.8559,840.393,634.0980000000001,69.8853,689.148,183.00799999999998,-1.95334,37.0797
5558,53.9063,79.0,95.1261,840.515,634.0980000000001,69.9463,689.453,184.30200000000002,-1.9292799999999999,37.2328
5559,53.9063,80.0,96.0447,840.332,636.001,69.9463,689.3919999999999,188.30599999999998,-2.15708,37.2162
5560,53.7109,81.0,95.7189,840.332,636.001,69.9463,689.5139999999999,183.252,-1.7415200000000002,37.3751
5561,53.7109,81.0,93.5479,839.966,637.886,69.9463,689.27,186.62099999999998,-1.9430900000000002,37.3694
