G_RIGHT PROXIMAL,G_RIGHT MIDDLE,G_RIGHT DISTAL,G_LEFT PROXIMAL,G_LEFT MIDDLE,G_LEFT DISTAL,S_Scrap
2.3716,3.4736,2.2353,2.6881,2.7888,2.7321,0
3.3482,4.4732,3.1131,3.9142,4.1238,3.7127,0
3.9306,4.8829,3.3933,3.8533,4.1793,4.0615,0
2.4056,3.405,2.4924,2.4256,2.6995,3.2049,0
2.9403,4.3452,3.3765,3.4475,3.9834,3.6372,0
3.746,4.7734,2.8949,3.7949,4.043,3.5578,0
3.6716,4.8603,2.973,3.7462,4.2619,3.8964,0
2.6668,4.0172,2.4378,3.2593,3.8176,3.6845,0
4.1066,4.6188,3.0607,3.6847,3.4877,3.4754,0
3.0493,4.0848,2.8773,3.1833,3.4741,3.5457,0
3.4811,4.5622,3.8244,3.5988,4.0812,3.6161,1
2.7638,3.7839,2.6212,2.7905,2.9704,3.1974,0
3.433,4.7424,2.7759,3.7169,4.0944,3.7189,0
3.7076,4.569,2.8425,3.5416,3.7465,3.6207,0
3.0055,3.8925,1.9863,2.6338,3.0553,2.9812,0
2.8523,3.8665,2.9103,3.0977,3.295,3.212,0
2.7104,4.3108,3.3986,3.2797,4.0656,3.415,0
3.6274,4.5002,2.9982,3.577,3.8873,3.7906,0
3.4745,4.5608,3.0322,3.5851,3.9936,3.7942,0
3.875,4.8417,3.1486,3.9726,3.7664,3.7167,0
3.4009,4.7188,3.2849,3.9513,4.3174,3.927,0
3.2885,4.3616,2.9403,3.2737,3.4581,3.4229,0
3.5245,4.52,3.0263,3.6597,3.7613,3.945,0
2.934,4.0853,2.5926,3.3862,3.6524,3.3183,0
2.6771,4.1114,2.2596,2.9048,3.5328,3.4394,0
2.8996,3.8277,2.347,2.8836,3.1185,2.5886,0
4.1085,4.6467,2.9043,4.2541,4.4466,4.0237,0
2.7891,4.0475,2.8676,3.3325,3.8085,3.3536,0
3.5705,4.6232,3.0767,3.7934,3.8798,3.8595,0
3.6148,4.6696,2.989,3.795,3.8165,3.7313,0
3.5912,4.9235,3.6862,3.9864,4.4075,3.5013,0
2.6359,3.6882,2.3051,2.5375,2.9246,3.0744,0
3.0433,4.3602,3.0052,3.0057,3.2626,3.1463,0
3.9446,4.1312,3.5693,3.9792,3.2955,3.9068,0
4.0368,4.6519,2.5293,4.2378,3.8977,4.1136,0
2.6706,4.1038,3.4625,3.3969,3.9055,3.6833,0
3.4915,4.385,4.051,3.796,4.1349,3.8115,0
3.5103,4.3509,2.444,3.6475,3.6224,3.804,0
2.375,3.7973,2.278,2.9323,3.6745,3.5804,0
4.3001,4.0237,2.5538,4.1979,3.3404,3.3164,0
3.6004,4.7644,3.1324,3.7146,3.878,3.8765,0
4.0928,3.9739,2.2893,3.9051,3.322,3.3318,0
2.9326,4.0837,2.7007,3.1213,3.1165,3.251,0
3.1272,4.1688,3.4832,3.1264,3.3688,3.453,0
3.1282,4.4304,2.8794,3.5012,3.6929,3.2934,0
3.1462,4.2253,2.3427,3.1512,3.6719,3.2808,0
3.3215,4.3912,3.7405,3.3927,3.7643,3.6837,0
3.1062,4.2786,3.3786,3.4231,3.6259,3.1862,0
3.0193,4.254,2.4578,3.0256,3.431,3.2833,0
3.2147,4.3001,2.5795,3.2378,3.5552,3.0557,0
3.1091,3.7154,2.0001,3.0275,2.8506,3.4853,0
2.9487,3.928,2.8187,3.0839,3.7697,3.3161,0
2.6449,3.6794,2.2624,2.8635,3.0072,3.1671,0
3.8389,4.7172,3.0751,3.7624,3.9338,3.8266,0
3.0169,4.2374,2.6059,3.3595,3.4854,3.4995,0
3.6129,4.2399,2.9301,3.5544,3.5509,3.7255,0
3.2188,4.2591,3.6724,3.5184,3.6239,3.6012,0
3.0281,4.2756,3.5758,3.265,3.7519,3.5618,0
2.7392,3.8903,2.7193,2.9728,2.9375,3.3562,0
3.1275,3.9699,2.4398,2.7746,2.8211,2.9946,0
3.2874,4.0248,2.7725,2.9214,3.0704,3.0083,0
3.3128,4.4391,2.9549,3.6668,3.8429,4.2039,0
3.5708,4.5,3.2852,3.859,3.907,3.7139,0
3.303,4.7383,3.52,3.4468,4.1323,3.443,1
2.7813,4.1229,2.5116,2.9244,3.2917,3.165,0
3.8765,4.6977,2.9061,3.5509,3.6833,3.5771,0
2.9566,3.9354,2.8003,2.9189,2.8088,3.1247,0
3.4845,4.3804,2.746,3.3858,3.4551,3.7229,0
3.0725,4.3739,2.9673,3.2795,3.6352,3.44,0
2.7118,4.1601,3.5753,3.104,3.3505,3.1596,0
3.0921,4.4918,3.5247,2.9137,3.973,3.2596,0
3.1768,4.4692,3.8363,3.4899,4.0268,3.5315,0
2.4308,3.702,3.0607,2.6641,2.9621,2.8813,0
3.4303,4.0105,3.7019,3.4154,3.7255,3.5225,0
2.6501,4.0444,2.3119,3.1504,3.6587,3.374,0
3.6853,4.3751,2.8642,3.6319,3.5409,3.3452,0
3.4413,4.7198,2.9104,3.6467,3.7201,3.7041,0
2.5997,3.5903,2.5459,3.1733,3.168,3.2273,0
