CO_BATCH_NUMBER,Batch_final_yield,Yield_O_OMNI_FIRST_DISTAL,Yield_O_OMNI_FILAR_WRAPPING,Yield_O_OMNI_PAM_APPLICATION,Yield_O_OMNI_PAM_INSPECTION,Yield_O_OMNI_MECHANICAL_CON,Yield_O_OMNI_ELECTRICAL_CON,Yield_O_OMNI_INS_GAP_FILLING,Yield_O_OMNI_DISPENSER_COIL,Yield_O_OMNI_SMARTCALELITE_TEST_FG,Yield_O_OMNI_DRIFTELITE_TEST_FG,Yield_O_OMNI_OFFSET_TEST,Yield_O_OMNI_MASKING,Yield_O_OMNI_HYDROPHILIC_COATING,Yield_O_OMNI_UNMASKING,Yield_O_OMNI_FINAL_INSP,Yield_O_OMNI_TRAYPREP_ FINAL_TEST,Yield_O_UNILABEL_PRINTING,Yield_O_POUCHING,Yield_O_SECOND_VERIFICATION_PACKAGING
1128221452,0.5537757437070937,1.0,1.0,1.0,0.9210526315789473,1.0,0.9428571428571428,1.0,1.0,0.9090909090909091,0.9333333333333333,0.9642857142857143,1.0,0.9629629629629629,1.0,0.9615384615384616,0.88,1.0,0.9565217391304348,1.0
1128221454,0.5344129554655871,1.0,1.0,1.0,1.0,0.8947368421052632,0.8235294117647058,1.0,1.0,0.9285714285714286,0.9230769230769231,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,1.0
1129220620,0.6635769332979007,1.0,0.9436619718309859,1.0,0.9701492537313433,1.0,0.9692307692307692,1.0,1.0,0.9206349206349206,0.9137931034482759,0.9811320754716981,1.0,1.0,1.0,0.9423076923076923,1.0,0.9811320754716981,1.0,0.98
1129220623,0.47350080852711407,1.0,0.927710843373494,0.987012987012987,0.9868421052631579,0.9733333333333334,0.9452054794520548,1.0,0.9855072463768116,0.9411764705882353,0.875,0.9464285714285714,0.9811320754716981,1.0,1.0,0.9230769230769231,0.9166666666666666,0.9782608695652174,1.0,0.9130434782608695
1129220625,0.5250086968045455,1.0,0.8352941176470589,1.0,0.971830985915493,0.9565217391304348,0.9552238805970149,1.0,1.0,0.890625,0.9473684210526315,0.9814814814814815,1.0,1.0,1.0,0.9811320754716981,0.9423076923076923,1.0,1.0,0.9245283018867925
1129221416,0.5564507904130546,1.0,0.9811320754716981,1.0,0.9615384615384616,0.96,0.9166666666666666,0.9777777777777777,1.0,0.9090909090909091,0.875,1.0,1.0,1.0,1.0,0.9428571428571428,0.9393939393939394,0.972972972972973,1.0,1.0
1129221424,0.6217391304347825,1.0,1.0,0.9649122807017544,0.9454545454545454,0.9807692307692307,0.9215686274509803,1.0,1.0,0.9361702127659575,0.9090909090909091,1.0,1.0,1.0,1.0,0.975,1.0,0.9565217391304348,1.0,0.95
1129221426,0.632787826586276,1.0,1.0,1.0,0.9767441860465116,0.9761904761904762,0.975609756097561,1.0,0.9876543209876543,0.925,0.9324324324324325,0.9855072463768116,0.9852941176470589,1.0,0.9850746268656716,0.9393939393939394,0.9354838709677419,1.0,1.0,0.95
1129221428,0.5113636363636362,1.0,0.9659090909090909,0.9882352941176471,0.9761904761904762,0.9390243902439024,0.8961038961038961,1.0,1.0,0.8260869565217391,0.9122807017543859,1.0,1.0,1.0,1.0,0.9615384615384616,0.94,1.0,1.0,0.9574468085106383
1129221435,0.6621621621621622,1.0,0.9324324324324325,1.0,0.9710144927536232,0.9701492537313433,1.0,1.0,1.0,0.9076923076923077,0.864406779661017,1.0,1.0,1.0,1.0,0.9803921568627451,1.0,1.0,1.0,0.98
